Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
78	:	1777110649.562	    43.736	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/transformed-mdp/crowds_13-5-0.01.drn --prop 'Pmax=? [true];Pmax=? [F "observeIGreater1" || F "observe0Greater1"]' --timeout 300 --dot-maxwidth 77 --exact --conditional:precision 1e-6 --conditional:algorithm bisection-pt
82	:	1777110688.194	    12.993	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/monitoring-cond-mdps/refuelC-12-40-13-251.drn --prop 'Pmax=? [true];Pmax=? [F "_goal" || F "_end"]' --timeout 300 --dot-maxwidth 81 --exact --conditional:algorithm restart
83	:	1777110693.300	    13.016	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/monitoring-cond-mdps/refuelC-12-40-13-251.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "_goal" || F "_end"]' --timeout 300 --dot-maxwidth 82 --exact --conditional:algorithm restart
84	:	1777110701.190	     6.371	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/monitoring-cond-mdps/refuelC-12-40-13-251.drn --prop 'Pmax=? [true];Pmax=? [F "_goal" || F "_end"]' --timeout 300 --dot-maxwidth 83 --conditional:precision 1e-6 --conditional:algorithm bisection
53	:	1777110410.307	   300.117	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/transformed-mdp/crowds_13-5-0.01.drn --prop 'Pmax=? [true];Pmax=? [F "observe0Greater1" || F "observeIGreater1"]' --timeout 300 --dot-maxwidth 52 --exact --conditional:algorithm bisection
85	:	1777110706.318	     6.268	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/monitoring-cond-mdps/refuelC-12-40-13-251.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "_goal" || F "_end"]' --timeout 300 --dot-maxwidth 84 --conditional:precision 1e-6 --conditional:algorithm bisection
86	:	1777110707.564	     6.777	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/monitoring-cond-mdps/refuelC-12-40-13-251.drn --prop 'Pmax=? [true];Pmax=? [F "_goal" || F "_end"]' --timeout 300 --dot-maxwidth 85 --conditional:precision 1e-6 --conditional:algorithm bisection-pt
55	:	1777110414.294	   300.096	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/transformed-mdp/crowds_13-5-0.01.drn --prop 'Pmax=? [true];Pmax=? [F "observeIGreater1" || F "observe0Greater1"]' --timeout 300 --dot-maxwidth 54 --exact --conditional:algorithm bisection
87	:	1777110710.426	     7.060	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/monitoring-cond-mdps/refuelC-12-40-13-251.drn --prop 'Pmax=? [true];Pmax=? [F "_goal" || F "_end"]' --timeout 300 --dot-maxwidth 86 --conditional:precision 1e-6 --conditional:algorithm restart
88	:	1777110712.589	     6.844	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/monitoring-cond-mdps/refuelC-12-40-13-251.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "_goal" || F "_end"]' --timeout 300 --dot-maxwidth 87 --conditional:precision 1e-6 --conditional:algorithm restart
90	:	1777110714.391	     7.697	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/monitoring-cond-mdps/refuelC-12-40-13-251.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "_goal" || F "_end"]' --timeout 300 --dot-maxwidth 89 --exact --conditional:precision 1e-6 --conditional:algorithm bisection
89	:	1777110714.344	     8.533	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/monitoring-cond-mdps/refuelC-12-40-13-251.drn --prop 'Pmax=? [true];Pmax=? [F "_goal" || F "_end"]' --timeout 300 --dot-maxwidth 88 --exact --conditional:precision 1e-6 --conditional:algorithm bisection
91	:	1777110717.490	     8.796	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/monitoring-cond-mdps/refuelC-12-40-13-251.drn --prop 'Pmax=? [true];Pmax=? [F "_goal" || F "_end"]' --timeout 300 --dot-maxwidth 90 --exact --conditional:precision 1e-6 --conditional:algorithm bisection-pt
59	:	1777110425.047	   303.114	0	0	14	0	storm/build/bin/storm -drn benchmarks/rq1/models/transformed-mdp/crowds_13-5-0.01.drn --prop 'Pmax=? [true];Pmax=? [F "observe0Greater1" || F "observeIGreater1"]' --timeout 300 --dot-maxwidth 58 --exact --conditional:algorithm restart
