Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
47	:	1776957309.338	     0.407	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 10 --dot-maxwidth 46 --exact --conditional:algorithm restart
48	:	1776957309.347	     0.408	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "Disease4" || F "CO21"]' --timeout 10 --dot-maxwidth 47 --exact --conditional:algorithm restart
70	:	1776957309.603	     0.160	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "Disease4" || F "CO21"]' --timeout 10 --dot-maxwidth 69 --exact --conditional:precision 1e-6 --conditional:algorithm bisection
71	:	1776957309.619	     0.151	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 10 --dot-maxwidth 70 --exact --conditional:precision 1e-6 --conditional:algorithm bisection-pt
73	:	1776957309.637	     0.148	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 10 --dot-maxwidth 72 --exact --conditional:precision 1e-6 --conditional:algorithm bisection-advanced
75	:	1776957309.693	     0.149	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 10 --dot-maxwidth 74 --exact --conditional:precision 1e-6 --conditional:algorithm bisection-advanced-pt
74	:	1776957309.674	     0.190	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 10 --dot-maxwidth 73 --exact --conditional:precision 1e-6 --conditional:algorithm bisection-advanced
69	:	1776957309.592	     0.279	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 10 --dot-maxwidth 68 --exact --conditional:precision 1e-6 --conditional:algorithm bisection
76	:	1776957309.696	     0.189	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 10 --dot-maxwidth 75 --exact --conditional:precision 1e-6 --conditional:algorithm bisection-advanced-pt
72	:	1776957309.626	     0.269	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 10 --dot-maxwidth 71 --exact --conditional:precision 1e-6 --conditional:algorithm bisection-pt
78	:	1776957309.704	     0.699	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/concrete-mdps/coin-03-K=12.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "finished" & "all_coins_equal_0"  || F "all_coins_equal_1"]' --timeout 10 --dot-maxwidth 77 --exact --conditional:algorithm bisection
9	:	1776957309.010	     1.509	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "PAP0" || F "HRSAT1"]' --timeout 10 --dot-maxwidth 8 --exact --conditional:algorithm restart
80	:	1776957309.727	     0.832	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/concrete-mdps/coin-03-K=12.drn --prop 'Pmax=? [true];Pmax=? [F "finished" & "all_coins_equal_0"  || F "all_coins_equal_1"]' --timeout 10 --dot-maxwidth 79 --exact --conditional:algorithm restart
10	:	1776957309.012	     1.554	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "PAP0" || F "HRSAT1"]' --timeout 10 --dot-maxwidth 9 --exact --conditional:algorithm restart
79	:	1776957309.706	     0.869	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/concrete-mdps/coin-03-K=12.drn --prop 'Pmax=? [true];Pmax=? [F "finished" & "all_coins_equal_0"  || F "all_coins_equal_1"]' --timeout 10 --dot-maxwidth 78 --exact --conditional:algorithm bisection-pt
81	:	1776957309.746	     0.836	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/concrete-mdps/coin-03-K=12.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "finished" & "all_coins_equal_0"  || F "all_coins_equal_1"]' --timeout 10 --dot-maxwidth 80 --exact --conditional:algorithm restart
97	:	1776957310.587	     0.226	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/concrete-mdps/coin-03-K=4.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "finished" & "all_coins_equal_0"  || F "all_coins_equal_1"]' --timeout 10 --dot-maxwidth 96 --exact --conditional:algorithm bisection
